id,exp,cg00000029,cg09008103,cg14354270,cg21036914,cg00673208,cg20976708
1,0,0.115871406,0.965662742,0.842351893,0.941858788,0.974917045,0.870740543
2,0,0.11395621,0.971000325,0.943585719,0.953379976,0.969604474,0.868647107
3,0,0.140082344,0.971106058,0.782708286,0.952444212,0.971055138,0.882114203
4,2,0.1741707,0.974607369,0.980506387,0.938692942,0.962394066,0.860821867
5,2,0.064105472,0.979919328,0.95663265,0.954691687,0.964814876,0.836996151
6,0,0.111536019,0.969263308,0.924565704,0.94174484,0.969823472,0.877040279
7,0,0.122656983,0.970078503,0.925560457,0.945964486,0.969143929,0.876050127
8,2,0.081130823,0.978693955,0.94859519,0.949819724,0.961674753,0.840673539
9,0,0.099987676,0.973528577,0.933943538,0.947427698,0.967765175,0.868608199
10,2,0.068637689,0.983742609,0.968895546,0.930432797,0.96763092,0.853227441
11,2,0.182377706,0.978297451,0.951559126,0.943292613,0.960166888,0.852045445
12,0,0.088098539,0.970145687,0.901558447,0.953597575,0.969248684,0.8829679
13,2,0.193646746,0.976093102,0.962649716,0.943257,0.965289776,0.855490229
14,2,0.107161688,0.977389452,0.953290475,0.946867323,0.961511574,0.836604927
15,2,0.121802098,0.979850918,0.948495086,0.94384175,0.963152072,0.838979563
16,2,0.115034355,0.977554523,0.940832921,0.939704202,0.965526563,0.836537593
17,2,0.11547178,0.979607109,0.951007977,0.931013637,0.959944335,0.843557841
